"대구광역시","65~69세",135142,63026,72116,87.4,134624,62800,71824,87.4
"대구광역시","70~74세",97519,44271,53248,83.1,97307,44187,53120,83.2
"대구광역시","75~79세",75796,31628,44168,71.6,75689,31584,44105,71.6
"대구광역시","80~84세",51639,18941,32698,57.9,51585,18928,32657,58
"대구광역시","85세이상",34183,9545,24638,38.7,34133,9524,24609,38.7
"대구광역시","85~89세",25076,7647,17429,43.9,25042,7633,17409,43.8
"대구광역시","90~94세",7468,1602,5866,27.3,7457,1596,5861,27.2
"대구광역시","95~99세",1454,273,1181,23.1,1453,273,1180,23.1
"대구광역시","100세이상",185,23,162,14.2,181,22,159,13.8
"대구광역시","15세미만",282698,145454,137244,106,281445,144852,136593,106
"대구광역시","15~64세",1733723,877406,856317,102.5,1698519,858750,839769,102.3
"대구광역시","65세이상",394279,167411,226868,73.8,393338,167023,226315,73.8
"대구광역시","평균연령",43.3,41.9,44.7,-,43.4,42,44.8,-
"대구광역시","중위연령",45,43.1,46.6,-,45.3,43.5,46.9,-
"인천광역시","합계",2945454,1477064,1468390,100.6,2846242,1422376,1423866,99.9
"인천광역시","0~4세",100431,51612,48819,105.7,96848,49768,47080,105.7
"인천광역시","5~9세",131940,67711,64229,105.4,129513,66448,63065,105.4
"인천광역시","10~14세",131690,67621,64069,105.5,130251,66852,63399,105.4
"인천광역시","15~19세",137257,70521,66736,105.7,135404,69640,65764,105.9
"인천광역시","20~24세",183896,95592,88304,108.3,176352,91324,85028,107.4
"인천광역시","25~29세",218574,115347,103227,111.7,206715,108376,98339,110.2
"인천광역시","30~34세",194775,102684,92091,111.5,178600,93053,85547,108.8
"인천광역시","35~39세",225743,117514,108229,108.6,212499,109421,103078,106.2
"인천광역시","40~44세",230990,119057,111933,106.4,221969,113714,108255,105
"인천광역시","45~49세",251386,127783,123603,103.4,243799,123607,120192,102.8
"인천광역시","50~54세",255672,126290,129382,97.6,248733,122760,125973,97.4
"인천광역시","55~59세",255044,127389,127655,99.8,248403,124238,124165,100.1
"인천광역시","60~64세",222461,110882,111579,99.4,217086,108336,108750,99.6
"인천광역시","65~69세",141056,68629,72427,94.8,137888,67219,70669,95.1
"인천광역시","70~74세",101005,47817,53188,89.9,99792,47322,52470,90.2
"인천광역시","75~79세",74691,32119,42572,75.4,74106,31931,42175,75.7
"인천광역시","80~84세",50540,18501,32039,57.7,50165,18408,31757,58
"인천광역시","85세이상",38303,9995,28308,35.3,38119,9959,28160,35.4
"인천광역시","85~89세",26186,7500,18686,40.1,26048,7474,18574,40.2
"인천광역시","90~94세",9644,2024,7620,26.6,9604,2016,7588,26.6
"인천광역시","95~99세",2184,426,1758,24.2,2179,425,1754,24.2
"인천광역시","100세이상",289,45,244,18.4,288,44,244,18
"인천광역시","15세미만",364061,186944,177117,105.5,356612,183068,173544,105.5
"인천광역시","15~64세",2175798,1113059,1062739,104.7,2089560,1064469,1025091,103.8
