"평가년도","도서관구분","도서관코드","도서관명","면적","시군구","장서수","사서수","대출자수","대출권수"
2014,"LIBTYPE002",2060147019,"경산시립도서관","경북","경산시",113101,"4",204528,183040
2014,"LIBTYPE002",2060147030,"울진남부도서관","경북","울진군",35571,"1",38915,23922
2014,"LIBTYPE002",2060148006,"밀양시립도서관","경남","밀양시",128783,"3",499712,150976
2014,"LIBTYPE002",2060123010,"인천광역시 율목도서관","인천","중구",47241,"9",266044,76563
2014,"LIBTYPE002",2060123018,"꿈벗도서관","인천","중구",24800,"3",45900,27362
2014,"LIBTYPE002",2060124005,"광주북구일곡도서관","광주","북구",128624,"10",605029,229693
2014,"LIBTYPE002",2060125001,"대전광역시한밭도서관","대전","중구",756657,"36",1454155,474294
2014,"LIBTYPE002",2060125011,"구즉도서관","대전","유성구",93840,"3",225640,152072
2014,"LIBTYPE002",2060125019,"노은도서관","대전","유성구",53720,"4",418688,219401
2014,"LIBTYPE002",2060131002,"농소1동도서관","울산","북구",43950,"1",101507,44939
2014,"LIBTYPE002",2060132001,"한솔동도서관","세종","-",10550,"1",25740,21537
2014,"LIBTYPE002",2060141005,"수원시북수원도서관","경기","수원시 장안구",194397,"8",992825,501317
2014,"LIBTYPE002",2060141011,"부천시립심곡도서관","경기","부천시 소사구",154688,"3",326025,108340
2014,"LIBTYPE002",2060141019,"안양시호계도서관","경기","안양시 동안구",153426,"3",533599,204552
2014,"LIBTYPE002",2060141032,"평택시립안중도서관","경기","평택시",190809,"4",401076,294906
2014,"LIBTYPE002",2060141036,"시흥시중앙도서관","경기","시흥시",230994,"10",621733,268264
2014,"LIBTYPE002",2060141046,"이천시청미도서관","경기","이천시",94341,"3",72690,44351
2014,"LIBTYPE002",2060141056,"양평군립중앙도서관","경기","양평군",159393,"4",312607,38976
2014,"LIBTYPE002",2060141059,"고양시립아람누리도서관","경기","고양시 일산동구",176345,"3",609112,439306
2014,"LIBTYPE002",2060141067,"남양주시 정약용도서관","경기","남양주시",153239,"3",396300,176065
2014,"LIBTYPE002",2060141078,"양주시립꿈나무도서관","경기","양주시",120764,"6",196696,402414
2014,"LIBTYPE002",2060141090,"해밀도서관","경기","부천시 원미구",52007,"4",317979,55075
2014,"LIBTYPE002",2060141098,"용인시 동백도서관","경기","용인시 기흥구",101603,"3",713513,499847
2014,"LIBTYPE002",2060141103,"남양주시와부도서관","경기","남양주시",95845,"2",440721,285850
2014,"LIBTYPE002",2060141111,"구리시립토평도서관","경기","구리시",116189,"4",720700,632969
2014,"LIBTYPE002",2060141119,"조리도서관","경기","파주시",22128,"3",93257,32942
2014,"LIBTYPE002",2060141128,"해솔도서관","경기","파주시",47381,"1",232081,186995
2014,"LIBTYPE002",2060141139,"화성시립송산도서관","경기","화성시",43793,"4",144681,64635
2014,"LIBTYPE002",2060141148,"초월도서관","경기","광주시",48782,"3",299745,246126
2014,"LIBTYPE002",2060141156,"수원시대추골도서관","경기","수원시 장안구",56829,"4",246374,111487
2014,"LIBTYPE002",2060141163,"고양시립 신원도서관","경기","고양시 덕양구",27062,"2",66433,101410
2014,"LIBTYPE002",2050125002,"대전학생교육문화원 부설 산성도서관","대전","중구",40212,"5",114884,81104
2014,"LIBTYPE002",2050131002,"울산남부도서관","울산","남구",282046,"14",882201,369277
2014,"LIBTYPE002",2050141004,"경기포천교육도서관","경기","포천시",124855,"6",121903,59022
2014,"LIBTYPE002",2050142003,"강릉교육문화관","강원","강릉시",166679,"7",385016,112915
2014,"LIBTYPE002",2060141137,"보라도서관","경기","용인시 기흥구",62033,"3",790808,268175
2014,"LIBTYPE002",2060141043,"화성시삼괴도서관","경기","화성시",89614,"4",230549,111398
2014,"LIBTYPE002",2050148018,"경상남도교육청 고성도서관","경남","고성군",76690,"6",219021,68800
2014,"LIBTYPE002",2050148017,"경상남도교육청 양산도서관","경남","양산시",100999,"5",241390,56565
2014,"LIBTYPE002",2060148004,"진주시립연암도서관","경남","진주시",190009,"7",277464,170829
2014,"LIBTYPE002",2060148003,"상남도서관","경남","창원시 성산구",133662,"3",675700,434778
2014,"LIBTYPE002",2050147024,"경상북도교육청 예천도서관","경북","예천군",70567,"3",50837,36524
2014,"LIBTYPE002",2030147001,"포항중앙도서관","경북","포항시 북구",29107,"0",250,2917
2014,"LIBTYPE002",2060147002,"포항시립영암도서관","경북","포항시 남구",98721,"1",318074,106137
2014,"LIBTYPE002",2060147020,"경산도서관","경북","경산시",65462,"1",96680,77712
2014,"LIBTYPE002",2060124002,"광주광역시립사직도서관","광주","남구",208534,"3",624978,291716
2014,"LIBTYPE002",2030122003,"푸른초장공공도서관","대구","달서구",53145,"1",15700,51892
2014,"LIBTYPE002",2050142004,"속초교육문화관","강원","속초시",142936,"6",330456,110277
2014,"LIBTYPE002",2060125006,"가양도서관","대전","동구",88233,"5",253550,168109
2014,"LIBTYPE002",2050121008,"부산광역시립서동도서관","부산","금정구",126070,"8",396915,191984
2014,"LIBTYPE002",2060121012,"화명도서관","부산","북구",96312,"5",430668,224026
2014,"LIBTYPE002",2050111010,"서울특별시교육청동작도서관","서울","동작구",146189,"12",875754,394290
2014,"LIBTYPE002",2050111020,"서울특별시교육청영등포평생학습관","서울","영등포구",203271,"13",923922,284660
2014,"LIBTYPE002",2060111008,"도봉문화정보도서관","서울","도봉구",132637,"3",257113,111292
2014,"LIBTYPE002",2050141006,"경기여주가남교육도서관","경기","여주시",79371,"2",81277,34183
2014,"LIBTYPE002",2060111071,"화랑도서관","서울","노원구",34630,"5",181837,114872
